Id,FirstName,LastName,Email,Discount
61, Wyatt, Watsica, Wyatt_Watsica@gmail.com, 0.3
62, Asia, Kreiger, Asia_Kreiger@yahoo.com, 0.8
63, Audreanne, Rolfson, Audreanne_Rolfson86@gmail.com, 0.8
64, Wanda, Morar, Wanda95@hotmail.com, 0.4
65, Danika, Kozey, Danika27@gmail.com, 0.8
66, Sigrid, Cronin, Sigrid_Cronin@yahoo.com, 0.2
67, Zackary, Tremblay, Zackary_Tremblay@gmail.com, 0.7
68, Otis, Mills, Otis39@hotmail.com, 0.5
69, Opal, Konopelski, Opal24@gmail.com, 0.5
70, Cleve, Sanford, Cleve50@gmail.com, 0.7
71, Shana, Hartmann, Shana_Hartmann@gmail.com, 0.7
72, Hillard, Botsford, Hillard_Botsford@yahoo.com, 0.8
73, Paxton, Klocko, Paxton37@hotmail.com, 0.4
74, Erika, Bogan, Erika.Bogan80@gmail.com, 0.6
75, Minnie, Volkman, Minnie_Volkman@gmail.com, 0.7
76, Roger, Howe, Roger_Howe@yahoo.com, 0.5
77, Delta, Schroeder, Delta.Schroeder95@gmail.com, 0.2
78, Timothy, Gerlach, Timothy_Gerlach17@yahoo.com, 0.4
79, Sydni, Shields, Sydni.Shields96@yahoo.com, 0.5
80, Rodger, Bernier, Rodger63@hotmail.com, 0.7
81, Shaniya, Price, Shaniya_Price@yahoo.com, 0.2
82, Keyshawn, Casper, Keyshawn37@yahoo.com, 0.7
83, Michel, Fritsch, Michel.Fritsch@hotmail.com, 0.2
84, Emmanuelle, Green, Emmanuelle.Green96@yahoo.com, 0.6
85, Hester, Nienow, Hester_Nienow@hotmail.com, 0.4
86, Holly, Ortiz, Holly22@gmail.com, 0.6
87, Turner, Wiza, Turner.Wiza@hotmail.com, 0.4
88, Mortimer, Beahan, Mortimer_Beahan@hotmail.com, 0.6
89, Grayson, Rempel, Grayson.Rempel30@hotmail.com, 0.2
90, Marlene, Morar, Marlene.Morar@hotmail.com, 0.6
91, Merl, Schinner, Merl.Schinner51@hotmail.com, 0.2
92, Mac, Rosenbaum, Mac56@yahoo.com, 0.6
93, Carmela, Kuphal, Carmela_Kuphal93@gmail.com, 0.8
94, Ephraim, Ankunding, Ephraim.Ankunding32@gmail.com, 0.8
95, Damon, Little, Damon58@gmail.com, 0.4
96, Wilford, Marks, Wilford10@yahoo.com, 0.7
97, Winfield, Price, Winfield.Price@hotmail.com, 0.5
98, Giovanny, O'Keefe, Giovanny.OKeefe@gmail.com, 0.6
99, Billy, Klocko, Billy69@yahoo.com, 0.7
100, Alek, Koss, Alek_Koss@hotmail.com, 0.2
101, Mathias, Gerlach, Mathias71@yahoo.com, 0.6
102, Theron, Gaylord, Theron_Gaylord22@hotmail.com, 0.4
103, Gaetano, Pfannerstill, Gaetano67@gmail.com, 0.7
104, Mellie, Connelly, Mellie12@yahoo.com, 0.7
105, Marilou, Strosin, Marilou63@hotmail.com, 0.2
106, Gaetano, Ullrich, Gaetano.Ullrich99@hotmail.com, 0.2
107, Tyrese, MacGyver, Tyrese88@yahoo.com, 0.3
108, Johan, Greenfelder, Johan9@hotmail.com, 0.8
109, Gerry, Breitenberg, Gerry96@hotmail.com, 0.4
110, Dasia, Kertzmann, Dasia71@yahoo.com, 0.2
111, Deondre, D'Amore, Deondre.DAmore@hotmail.com, 0.5
112, Helmer, Mosciski, Helmer_Mosciski18@gmail.com, 0.2
113, Yoshiko, Kris, Yoshiko_Kris@hotmail.com, 0.7
114, Karl, Pollich, Karl96@gmail.com, 0.5
115, Reta, Turcotte, Reta_Turcotte66@yahoo.com, 0.8
116, Ronny, Koch, Ronny_Koch93@hotmail.com, 0.8
117, Jairo, Turner, Jairo.Turner38@yahoo.com, 0.6
118, Virgil, Wolf, Virgil_Wolf@hotmail.com, 0.8
119, Elena, Daniel, Elena92@yahoo.com, 0.7
120, Ansley, Kunze, Ansley_Kunze54@yahoo.com, 0.3
121, Raleigh, Heathcote, Raleigh76@yahoo.com, 0.3
122, Marquis, Lehner, Marquis.Lehner@gmail.com, 0.3
123, Raoul, McDermott, Raoul_McDermott77@hotmail.com, 0.4
124, Natasha, Purdy, Natasha.Purdy72@yahoo.com, 0.7
125, Mollie, Stracke, Mollie.Stracke69@yahoo.com, 0.3
126, Carmella, Marquardt, Carmella88@yahoo.com, 0.2
127, Earline, Cole, Earline53@yahoo.com, 0.3
128, Simeon, Brekke, Simeon63@gmail.com, 0.6
129, Aida, Klocko, Aida.Klocko@hotmail.com, 0.6
130, Lula, Hills, Lula_Hills@hotmail.com, 0.2
131, Golden, Leuschke, Golden65@yahoo.com, 0.2
132, Jerald, Lueilwitz, Jerald.Lueilwitz61@gmail.com, 0.3
133, Laury, Collier, Laury_Collier51@hotmail.com, 0.6
134, Rodrigo, Erdman, Rodrigo45@gmail.com, 0.6
135, George, Okuneva, George.Okuneva@yahoo.com, 0.7
136, Elody, Homenick, Elody_Homenick87@yahoo.com, 0.5
137, Cletus, Rohan, Cletus.Rohan@gmail.com, 0.4
138, Clark, Haag, Clark_Haag@yahoo.com, 0.5
139, Edythe, Wiza, Edythe17@gmail.com, 0.5
140, Earlene, Mante, Earlene_Mante@gmail.com, 0.8
141, Kaci, Medhurst, Kaci88@gmail.com, 0.8
142, Brielle, Bergstrom, Brielle32@hotmail.com, 0.8
143, Nicholas, Moen, Nicholas.Moen27@hotmail.com, 0.7
144, Bianka, Schinner, Bianka_Schinner10@hotmail.com, 0.3
145, Issac, Lubowitz, Issac38@yahoo.com, 0.5
146, Ted, Dickinson, Ted.Dickinson88@gmail.com, 0.4
147, Lindsey, Jakubowski, Lindsey.Jakubowski@hotmail.com, 0.6
148, Esta, Koepp, Esta.Koepp30@yahoo.com, 0.7
149, Rosanna, Rau, Rosanna_Rau@gmail.com, 0.5
150, Colt, Reichel, Colt_Reichel@yahoo.com, 0.6
151, Rosalind, Rosenbaum, Rosalind_Rosenbaum@hotmail.com, 0.2
152, Marta, Hodkiewicz, Marta71@hotmail.com, 0.8
153, Gus, Roob, Gus_Roob87@gmail.com, 0.8
154, Winfield, Abbott, Winfield.Abbott9@yahoo.com, 0.5
155, Valentine, Prosacco, Valentine.Prosacco81@hotmail.com, 0.3
156, Taya, Emmerich, Taya_Emmerich@hotmail.com, 0.2
157, Lorine, Rowe, Lorine_Rowe0@hotmail.com, 0.2
158, Cameron, Auer, Cameron.Auer@gmail.com, 0.6
159, Michale, O'Conner, Michale4@yahoo.com, 0.7
160, Jade, Abbott, Jade_Abbott15@gmail.com, 0.2
161, Soledad, Smith, Soledad.Smith@yahoo.com, 0.4
162, Preston, Sipes, Preston7@gmail.com, 0.6
163, Alfonso, Dietrich, Alfonso_Dietrich@gmail.com, 0.4
164, Denis, Pfannerstill, Denis51@yahoo.com, 0.3
165, Vincenzo, Stehr, Vincenzo.Stehr@yahoo.com, 0.5
166, Ora, Feeney, Ora.Feeney@hotmail.com, 0.3
167, Magali, Kshlerin, Magali21@gmail.com, 0.7
168, Javon, Kautzer, Javon.Kautzer@yahoo.com, 0.5
169, Jace, Murazik, Jace.Murazik@gmail.com, 0.5
170, Larry, Schiller, Larry57@gmail.com, 0.4
171, Ona, Hermiston, Ona.Hermiston84@hotmail.com, 0.8
172, Hallie, Bogisich, Hallie.Bogisich42@hotmail.com, 0.3
173, Jany, O'Kon, Jany67@yahoo.com, 0.4
174, Rosella, Beier, Rosella.Beier@hotmail.com, 0.3
175, Parker, Gutmann, Parker93@gmail.com, 0.4
176, Susan, McKenzie, Susan.McKenzie78@gmail.com, 0.8
177, Myah, Reichel, Myah_Reichel@yahoo.com, 0.8
178, Melyssa, Conn, Melyssa93@gmail.com, 0.3
179, Darrin, Lueilwitz, Darrin_Lueilwitz@gmail.com, 0.4
180, Frida, Hahn, Frida57@gmail.com, 0.4
181, Odie, Schroeder, Odie_Schroeder@gmail.com, 0.8
182, Leta, Nicolas, Leta94@hotmail.com, 0.6
183, Demetrius, McGlynn, Demetrius_McGlynn@gmail.com, 0.2
184, Kelvin, Gutmann, Kelvin70@gmail.com, 0.8
185, Maureen, Auer, Maureen_Auer@yahoo.com, 0.5
186, Neal, Parisian, Neal70@gmail.com, 0.8
187, Lindsay, Cruickshank, Lindsay38@gmail.com, 0.4
188, Ernest, Casper, Ernest.Casper@yahoo.com, 0.2
189, Ariel, Stoltenberg, Ariel49@yahoo.com, 0.3
190, Ed, Mraz, Ed_Mraz@gmail.com, 0.7
191, Halle, Cartwright, Halle.Cartwright@hotmail.com, 0.3
192, Jett, Bashirian, Jett_Bashirian@hotmail.com, 0.5
193, Opal, Gulgowski, Opal_Gulgowski57@hotmail.com, 0.3
194, Brendan, Price, Brendan_Price@yahoo.com, 0.7
195, Laurie, Dibbert, Laurie.Dibbert78@hotmail.com, 0.3
196, Elyssa, Kuhn, Elyssa31@hotmail.com, 0.8
197, Noelia, Heidenreich, Noelia24@gmail.com, 0.6
198, Wilhelm, Collier, Wilhelm35@yahoo.com, 0.5
199, Pietro, Lemke, Pietro.Lemke98@gmail.com, 0.6

